Reference number	Reference						
R128	Johnson, J.H. & Johnson, E.Z. (1981) Feeding periodicity and diel variation in diet composition of subyearling coho salmon, Oncorhychus kisutch, and xteelhead, Salmo gairdneri, in a small stream during summer. Fish. Bull., 79, 370–376. (From Fishbase www.fishbase.org)						
R129	Silliman, R.P. (1941) Fluctuations in the diet of the chinook and silver salmons (Oncorhynchus tschawytscha and O. kisutch) off Washington, as related to the troll catch of salmon. Copeia, 1941, 80. https://doi.org/10.2307/1437436.						
R130	Blackadar, R.J., Baxter, C. V., Davis, J.M. & Harris, H.E. (2020) Effects of river ice break‐up on organic‐matter dynamics and feeding ecology of aquatic insects. River Research and Applications, 36, 480–491. https://doi.org/10.1002/rra.3585.						
R131	Oscoz, J., Leunda, P.M., Campos, F., Escala, M.C., García-Fresca, C. & Miranda, R. (2005) Spring diet composition of Rainbow Trout, Oncorhynchus mykiss (Walbaum, 1792) in the Urederra River (Spain). Annales de Limnologie - International Journal of Limnology, 41, 27–34. https://doi.org/10.1051/limn/2005003.						
R132	Larson, G.L. & McIntire, C.D. (1993) Food habits of different phenotypes of threespine stickleback in Paxton Lake, British Columbia. Transactions of the American Fisheries Society, 122, 543–549. https://doi.org/10.1577/1548-8659(1993)122<0543:FHODPO>2.3.CO;2.						
R133	Stewart, T.J. & Sprules, W.G. (2011) Carbon-based balanced trophic structure and flows in the offshore Lake Ontario food web before (1987–1991) and after (2001–2005) invasion-induced ecosystem change. Ecological Modelling, 222, 692–708. https://doi.org/10.1016/j.ecolmodel.2010.10.024.						
R134	Tonnoir, A.L. (1930) Notes on Indian Blepharocerid larvae and pupae with remarks on the morphology of Blepharocerid larvae and pupae in general. Records of the Zoological Survey of India, 32, 161. https://doi.org/10.26515/rzsi/v32/i2/1930/162531.						
R135	Miyasaka, H. & Genkai-Kato, M. (2009) Shift between carnivory and omnivory in stream stonefly predators. Ecological Research, 24, 11–19. https://doi.org/10.1007/s11284-008-0475-3.						
R136	Henriques-Oliveira, A.L., Nessimian, J.L. & Dorvillé, L.F.M. (2003) Feeding habits of Chironomid larvae (Insecta: Diptera) from a stream in the Floresta da Tijuca, Rio de Janeiro, Brazil. Brazilian Journal of Biology, 63, 269–281. https://doi.org/10.1590/S1519-69842003000200012.						
R137	Piola, R.F., Suthers, I.M. & Rissik, D. (2008) Carbon and nitrogen stable isotope analysis indicates freshwater shrimp Paratya australiensis Kemp, 1917 (Atyidae) assimilate cyanobacterial accumulations. Hydrobiologia, 608, 121–132. https://doi.org/10.1007/s10750-008-9374-4.						
R138	Merkel, T.J. (1957) Food habits of the king salmon, Oncorhynchus tshawytscha (Walbaum), in the vicinity of San Francisco, California. Calif. Fish Game, 43, 249–270. [From Szoboszlai, A.I., Thayer, J.A., Wood, S.A., Sydeman, W.J. & Koehn, L.E. (2015) Forage species in predator diets: Synthesis of data from the California Current. Ecological Informatics, 29, 45–56. https://doi.org/10.1016/j.ecoinf.2015.07.003.]						
R139	Odum, W.E. (1970) Pathways of energy flow in a south Florida estuary, University of Miami, 162.						
R140	Pidgeon, R. (1981) Diet and growth of rainbow trout, Salmo gairdneri Richardson, in two streams on the New England Tableland, New South Wales. Marine and Freshwater Research, 32, 967. https://doi.org/10.1071/MF9810967.						
R141	LeBrasseur, R.J. (1966) Stomach contents of salmon and steelhead trout in the Northeastern Pacific Ocean. Journal of the Fisheries Research Board of Canada, 23, 85–100. https://doi.org/10.1139/f66-007.						
R142	Rueda, L.M. (2008) Global diversity of mosquitoes (Insecta: Diptera: Culicidae) in freshwater. Freshwater Animal Diversity Assessment, pp. 477–487. Springer Netherlands, Dordrecht. https://doi.org/10.1007/978-1-4020-8259-7_48.						
R143	Piet, G.J. & Guruge, W.A.H.P. (1997) Diel variation in feeding and vertical distribution of ten co-occurring fish species: consequences for resource partitioning. Environmental Biology of Fishes, 50, 293–307. https://doi.org/10.1023/A:1007390516552.						
R144	Chapman, D.W. & Demory, R.L. (1963) Seasonal changes in the food ingested by aquatic insect larvae and nymphs in two Oregon streams. Ecology, 44, 140–146.						
R145	Lock, K., Van Haaren, T., Tempelman, D. & Adriaens, T. (2014) Notes on some aquatic larvae of several fly families in Flanders (Diptera: Athericidae, Chaoboridae, Dixidae, Sciomyzidae and Tabanidae). Bull Soc R Belg Entomol, 150, 22–29.						
R146	Bueler, C.M. (1984) Feeding preference of Pteronarcys pictetii (Plecoptera: Insecta) from a small, acidic, woodland stream. The Florida Entomologist, 67, 393. https://doi.org/10.2307/3494718.						
R147	Negishi, J.N., Alam, M.K., Rahman, M.A.T.M.T., Kawanishi, R., Uno, H., Yoshinari, G. & Tojo, K. (2022) Three years in the dark: life history and trophic traits of the hyporheic stonefly, Alloperla ishikariana Kohno, 1953 (Plecoptera, Chloroperlidae). Hydrobiologia, 849, 4203–4219. https://doi.org/10.1007/s10750-022-04976-9.						
R148	López-Rodríguez, M.J., Tierno de Figueroa, J.M. & Alba-Tercedor, J. (2008) Life history and larval feeding of some species of Ephemeroptera and Plecoptera (Insecta) in the Sierra Nevada (Southern Iberian Peninsula). Hydrobiologia, 610, 277–295. https://doi.org/10.1007/s10750-008-9444-7.						
R149	Silveri, L., de Figueroa, J.T., Maiolini, B. & others (2009) Life cycle and nymphal feeding in the stonefly species Chloroperla susemicheli (Plecoptera: Chloroperlidae). Entomologia generalis, 32, 97–103.						
R150	Bańkowska, R. (1982) Dolichopodidae (Diptera) of Warsaw and Mazovia. Memorabilia Zoologica, 35, 33–45.						
R151	Whitfield, A.K. & Blaber, S.J.M. (1978) Resource segregation among iliophagous fish in Lake St. Lucia, Zululand. Environmental Biology of Fishes, 3, 293–296. https://doi.org/10.1007/BF00001455.						
R152	Ivanković, L., Ivković, M. & Stanković, I. (2019) Perennial phenology patterns and ecological traits of Dixidae (Insecta, Diptera) in lotic habitats of a barrage lake system. Limnologica, 76, 11–18. https://doi.org/10.1016/j.limno.2019.03.001.						
R153	Spataru, P. (1978) Food and feeding habits of Tilapia zillii (Gervais) (Cichlidae) in Lake Kinneret (Israel). Aquaculture, 14, 327–338. https://doi.org/10.1016/0044-8486(78)90015-7.						
R154	Levanets, A. & Van Rensburg, L. (2010) Non-marine Algae of Africa: A Bibliography (1799-2010), . AndCork Publishers, Potchefstroom, Republic of South Africa, 1-133.						
R155	국립생물자원관 한반도의 생물다양성 National Institute of Biological Resources Biodiversity of the Korean Peninsula (2011) National Institute of Biological Resources. https://species.nibr.go.kr/.						
R156	Fuller, R.L. & Hynes, H.B.N. (1987) The life cycle, food habits and production of Antocha saxicola O.S. (Diptera: Tipulidae). Aquatic Insects, 9, 129–135. https://doi.org/10.1080/01650428709361285.						
R157	Goodman, K.R. & O’Grady, P. (2013) Molecular Phylogeny and Biogeography of the Hawaiian Craneflies Dicranomyia (Diptera: Limoniidae). PLoS ONE, 8, e73019. https://doi.org/10.1371/journal.pone.0073019.						
R158	Podeniene, V. & Gelhaus, J.K. (2015) Review of the last instar larvae and pupae of Hexatoma (Eriocera) and Hexatoma (Hexatoma) (Diptera, Limoniidae, Limnophilinae). Zootaxa, 4021, 93. https://doi.org/10.11646/zootaxa.4021.1.4.						
R159	Hågvar, S., Ohlson, M. & Brittain, J.E. (2016) A melting glacier feeds aquatic and terrestrial invertebrates with ancient carbon and supports early succession. Arctic, Antarctic, and Alpine Research, 48, 551–562. https://doi.org/10.1657/AAAR0016-027.						
R160	Moon, R.D. (2019) Muscid Flies (Muscidae). Medical and Veterinary Entomology, pp. 345–368. Elsevier. https://doi.org/10.1016/B978-0-12-814043-7.00017-0.						
R161	Thut, R.N. (1969) Feeding Habits of Larvae of Seven Rhyacophila (Trichoptera: Rhyacophilidae) Species with Notes on Other Life-History Features1. Annals of the Entomological Society of America, 62, 894–898. https://doi.org/10.1093/aesa/62.4.894.						
R162	Ujvárosi, L., Kolcsár, L.P., Bálint, M. & Ciprian, M. (2010) Pediciidae larvae (Insecta: Diptera) in the Carpathian Basin: Preliminary results and further perspectives. Acta Biologica Debrecina, Supplimenta Oecologica Hungarica, 21, 233–246.						
R163	Miall, L.C., Walker, N. & Sacken, B.O. (2009) IV. The Life-history of Pericoma canescens (Psychodidae). Transactions of the Royal Entomological Society of London, 43, 141–153. https://doi.org/10.1111/j.1365-2311.1895.tb01666.x.						
R164	Redborg, K.E., Hinesly, T.D. & Ziegler, E.L. (1983) Rearing Psychoda alternata (Diptera: Psychodidae) in the laboratory on digested sewage sludge, with some observations on its biology1. Environmental Entomology, 12, 412–415. https://doi.org/10.1093/ee/12.2.412.						
R165	Vaillant, F. (1959) The larvae of three nearctic Diptera of the family Psychodidae. Journal of the New York Entomological Society, 67, 39–50.						
R166	Rozkošný, R. & Kovac, D. (2004) Insecta: Diptera, Stratiomyidae. Freshwater invertebrates of the Malaysian region (ed. by C.M. Yule and Y.H. Sen), pp. 798–804. Academy of Sciences Malaysia.						
R167	Holloway, G.J. & Ottenheim, M.M. (1994) The effect of diet and light on larval and pupal development of laboratory-reared Eristalis arbustorum (Diptera: Syrphidae). Netherlands Journal of Zoology, 45, 305–314.						
R168	Burns, A. & Walker, K.F. (2000) Biofilms as food for decapods (atyidae, Palaemonidae) in the River Murray, South Australia. Hydrobiologia, 437, 83–90.						
R169	Krivosheina, N.P. (2020) Ecological relations of the hoverfly larvae (Diptera, Syrphidae, Eristalinae) bark inhabitants with xylobiont insects. Biology Bulletin, 47, 605–616. https://doi.org/10.1134/S1062359020060096.						
R170	Nam, M.-M., Choi, N.-J., Kim, S.-W., Seok, K. & Lee, J.-Y. (1999) Seedling production and rearing of pale chup, Zacco platypus (Temminck et Schlegel). Journal of Aquaculture (한국양식학회지), 12, 25–30.						
R171	Meany, R.A., Valiela, I. & Teal, J.M. (1976) Growth, abundance and distribution of larval Tabanids in experimentally fertilized plots on a Massachusetts salt marsh. The Journal of Applied Ecology, 13, 323. https://doi.org/10.2307/2401782.						
R172	Young, C.W. (2004) Insecta: Diptera, Tipulidae. Freshwater invertebrates of the Malaysian region (ed. by Yule, C. & Yong, H.S.), pp. 774–784. Academy of Sciences Malaysia, Kuala Lumpur.						
R173	Tarter, D.C. & Krumholz, L.A. (1971) Life History and Ecology of Paragnetina media (Walker) (Insecta: Plecoptera) in Doe Run, Meade County, Kentucky. American Midland Naturalist, 86, 169. https://doi.org/10.2307/2423697.						
R174	Turner, G.F. & Mwanyama, N.C. (1992) Distribution and biology of Chambo (Oreochromis spp.) in Lake Malawi and Malombe. GOM/UNDP/FAO Chambo Fisheries Research Project, Malawi. FI:DP/MLW/86/013, Field Document 21, Monkey Bay, Malawi, 26, https://www.fao.org/3/ad202e/AD202E00.htm.						
R175	Welcomme, R.L. (1967) Observations on the biology of the introduced species of Tilapia in Lake Victoria. Rev. Zool. Bot. Afr, 76, 249–279. (From Fishbase www.fishbase.org)						
R176	Wijeyaratne, M.J.S. & Perera, W.M.D.S.K. (2001) Trophic interrelationships among the exotic and indigenous fish co-occuring in some reservoirs in Sri Lanka. Asian Fisheries Science, 14, 333–342. https://doi.org/10.33997/j.afs.2001.14.3.010.						
R177	Job, T.J. (1940) Notes on the geographical distribution and larvicidal propensities of Horaichthys Setnai Kulkarni. The Journal of the Bombay Natural History Society, 42, 201–202.						
R178	Zhang, W., Ma, Z.-X., Hu, Z., Luo, J.-Y. & Zhou, C. (2017) A new species of the genus Teloganopsis with setaceous mouthparts and forelegs from southern China (Ephemeroptera, Ephemerellidae). ZooKeys, 714, 33–46. https://doi.org/10.3897/zookeys.714.13646.						
R179	López-Rodríguez, M.J., Tierno de Figueroa, J.M. & Alba-Tercedor, J. (2009) Life history of two burrowing aquatic insects in southern Europe: Leuctra geniculata (Insecta: Plecoptera) and Ephemera danica (Insecta: Ephemeroptera). Aquatic Insects, 31, 99–110. https://doi.org/10.1080/01650420802620345.						
R180	Choi, H.C., Park, J.M., Youn, S.H. & Huh, S.H. (2015) Feeding habits of larval Clupea pallasii from the Nakdong River estuary, Korea. Korean Journal of Fisheries and Aquatic Sciences, 48, 498–506. https://doi.org/10.5657/KFAS.2015.0498.						
R181	Dobrynina, M.V., Gorshkov, S.A. & Kinas, N.M. (1988) Feeding intensity of predatory fishes as dependent on concentration density of downstream migrants of young pink salmon Oncorhynchus gorbuscha in the Utka R. of the western Kamchatka. Journal of Ichthyology, 28, 971–977. (From Fishbase www.fishbase.org)						
R182	Greene, V., Sullivan, L., Thompson, J. & Kimmerer, W. (2011) Grazing impact of the invasive clam Corbula amurensis on the microplankton assemblage of the northern San Francisco Estuary. Marine Ecology Progress Series, 431, 183–193. https://doi.org/10.3354/meps09099.						
R183	Maksimenkov, V. V & Tokranov, A.M. (1993) Diet of larval smelt, Osmerus mordax dentex, in the estuary of the Bol’shaya River (Western Kamchatka). Journal of Ichthyology, 33, 150–154. (From Fishbase www.fishbase.org)						
R184	Anderson, G.S. (1985) Species profiles: Life histories and environmental requirements of coastal fishes and invertebrates (Gulf of Mexico): Grass shrimp, The Service.						
R185	Wallace, J.B. & O’Hop, J. (1979) Fine particle suspension-feeding capabilities of Isonychia spp. (Ephemeroptera: Siphlonuridae). Annals of the Entomological Society of America, 72, 353–357. https://doi.org/10.1093/aesa/72.3.353.						
R186	Carlton, J., Tompson, J., Schemel, L. & Nichols, F. (1990) Remarkable invasion of San Francisco Bay (California, USA), by the Asian clam Potamocorbula amurensis. I. Introduction and dispersal. Marine Ecology Progress Series, 66, 81–94. https://doi.org/10.3354/meps066081.						
R187	MATTINGLY, R.L. (1987) Handling of coarse and fine particulate organic matter by the aquatic insects Paraleptophlebia gregalis and P. temporalis(Ephemeroptera: Leptophlebiidae). Freshwater Biology, 18, 255–265. https://doi.org/10.1111/j.1365-2427.1987.tb01312.x.						
R188	Klemetsen, A., Brittain, J.E. & Engblom, E. (2015) New records of Metretopus alter Bengtsson, 1930 and Metretopus borealis (Eaton, 1871)(Ephemeroptera) in northern Norway, including confirmation of M. alter at the type locality after 90 years. Norwegian Journal of Entomology, 62, 117–128.						
R189	Munn, M.D. & King, R.H. (1987) Ecology of Potamanthus myops (Walsh) (Ephemeroptera: Potamanthidae) in a Michigan stream (USA). Hydrobiologia, 146, 71–75. https://doi.org/10.1007/BF00007579.						
R190	Lemb, M. & Maier, G. (1996) Prey selection by the water bug Aphelocheirus aestivalis Fabr. (Heteroptera: Aphelocheiridae). Internationale Revue der gesamten Hydrobiologie und Hydrographie, 81, 481–490. https://doi.org/10.1002/iroh.19960810316.						
R191	Xie, T., Ma, S. & He, F. (2022) Report on antennal sensilla of Aphelocheirus ellipsoideus (Hemiptera, Heteroptera, Aphelocheiridae). Archives of Insect Biochemistry and Physiology, 111. https://doi.org/10.1002/arch.21917.						
R192	Ohba, S. & Nakasuji, F. (2006) Dietary items of predacious aquatic bugs (Nepoidea: Heteroptera) in Japanese wetlands. Limnology, 7, 41–43. https://doi.org/10.1007/s10201-006-0161-5.						
R193	Dudgeon, D. (1990) Feeding by the aquatic heteropteran, Diplonychus rusticum (Belostomatidae): an effect of prey density on meal size. Hydrobiologia, 190, 93–96. https://doi.org/10.1007/BF00020691.						
R194	Aguzzi, J., Cuesta, J.A., Librero, M. & Toja, J. (2005) Daily and seasonal feeding rhythmicity of Palaemonetes varians (Leach 1814) from southwestern Europe. Marine Biology, 148, 141–147. https://doi.org/10.1007/s00227-005-0025-2.						
R195	Ohba, S.-Y., Tatsuta, H. & Sasaki, M. (2006) Raptorial legs and claws are not influenced by food condition in nymphal stages of Lethocerus deyrolli (Heteroptera: Belostomatidae). Annals of the Entomological Society of America, 99, 151–156.						
R196	Schumann, D.A., Cavallaro, M.C. & Hoback, W.W. (2012) Size selective predation of fish by Hydrophilis triangularis (Coleoptera: Hydrophilidae) and Lethocerus americanus (Hemiptera: Belostomatidae). Journal of the Kansas Entomological Society, 85, 155–159.						
R197	Johnson, D.S. & Liang, M. (1966) On the biology of the Watchman prawn, Anchistus custos (Crustacea; Decapoda; Palaemonidae), an Indo‐West Pacific commensal of the bivale Pinna. Journal of Zoology, 150, 433–435. https://doi.org/10.1111/j.1469-7998.1966.tb03017.x.						
R198	Jansson, A. & Scudder, G.G.E. (1972) Corixidae (Hemiptera) as predators: rearing on frozen brine shrimp. Journal of the entomological Society of British Columbia, 69, 44–45.						
R199	Reilly, P. & McCarthy, T.K. (1990) Observations on the natural diet of Cymatia bonsdorfi (C. Sahlb.) (Heteroptera: Corixidae): an immunological analysis. Hydrobiologia, 196, 159–166. https://doi.org/10.1007/BF00006107.						
R200	Reynolds, J.D. (1975) Feeding in corixids (Heteroptera) of small alkaline lakes in central B. C. SIL Proceedings, 1922-2010, 19, 3073–3078. https://doi.org/10.1080/03680770.1974.11896414.						
R201	Fairbairn, D.J. (1993) Costs of loading associated with mate-carrying in the waterstrider, Aquarius remigis. Behavioral Ecology, 4, 224–231. https://doi.org/10.1093/beheco/4.3.224.						
R202	Wessell, K.J., Merritt, R.W. & Cummins, K.W. (2001) Distribution, diel movement, and growth of the grass shrimp Palaemonetes paludosus in the Kissimmee River-floodplain ecosystem, Florida. Annales de Limnologie - International Journal of Limnology, 37, 85–95. https://doi.org/10.1051/limn/2001012.						
R203	Akin, S. & Winemiller, K.O. (2006) Seasonal variation in food web composition and structure in a temperate tidal estuary. Estuaries and Coasts, 29, 552–567. https://doi.org/10.1007/BF02784282.						
R204	Hungerford, H.B. (1918) Notes on the oviposition of some semi-aquatic Hemiptera (Hebrus, Salda, Lamprocanthia). Journal of the New York Entomological Society, 26, 12–18.						
R205	Ditrich, T. & Papacek, M. (2010) Effect of population density on the development of Mesovelia furcata (Mesoveliidae), Microvelia reticulata and Velia caprai (Veliidae)(Heteroptera: Gerromorpha). European Journal of Entomology, 107, 579.						
R206	Ohba, S., Huynh, T.T.T., Kawada, H., Le, L.L., Ngoc, H.T., Hoang, S. Le, Higa, Y. & Takagi, M. (2011) Heteropteran insects as mosquito predators in water jars in southern Vietnam. Journal of Vector Ecology, 36, 170–174. https://doi.org/10.1111/j.1948-7134.2011.00154.x.						
R207	Amrapala, C., Sitthicharoenchai, D., Thavara, U., Tawatsin, A. & Chittihunsa, T. (2009) Feeding ability of Micronecta grisea nymphal instars and adults on third instar Aedes aegypti larvae. Tropical Natural History, 9, 189–200.						
R208	심하식, 박병도, 박해철, 이영보, 김미애, 안미영, 최영철, 김종길, 황석조, 최지영 & others (2008) 물둥구리 (Ilyocoris exclamationis) 의 서식처 환경 및 생태 특성. 2008 년도 정기총회 및 춘계학술발표회, p. 109.						
R209	Kour, R., Tara, J.S., Sharma, S. & Kotwal, S. (2013) Life cycle and laboratory rearing of Laccotrephes maculates (Hemiptera: Nepidae) from Jammu (J&K, India). Munis Entomology and Zoology, 8, 790–795.						
R210	Harris, S.C. & Rasmussen, A.K. (2019) Review of the Orthotrichia (Trichoptera: Hydroptilidae) of Florida, with descriptions of previously unknown females of three species. Zoosymposia, 14, 215–230. https://doi.org/10.11646/zoosymposia.14.1.24.						
R211	Darnell, R.M. (1958) Food habits of fishes and large invertebrate of Lake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci. Univ. Tex, 5, 353–416.						
R212	Gittelman, S.H. (1974) Locomotion and predatory strategy in backswimmers (Hemiptera: Notonectidae). American Midland Naturalist, 92, 496. https://doi.org/10.2307/2424316.						
R213	Polhemus, J.T. (1976) Shore bugs (Hemiptera: Saldi dae, etc.). Marine Insects (ed. Cheng, L.). Elsevier North-Holland New York, New York, 225–262.						
R214	Ditrich, T. & Papáček, M. (2009) Effective strategy of the overwintering of semiaquatic bugs: overwintering of Velia caprai (Heteroptera: Gerromorpha: Veliidae). Journal of Natural History, 43, 529–543. https://doi.org/10.1080/00222930802610436.						
R215	Hayashi, F. (2004) Insecta: introduction. Freshwater Invertebrates of the Malaysian Region (ed. by C.M. Yule and Y.H. Sen), Academy of Sciences Malaysia, pp. 372–383.						
R216	Chen, F., Wu, C. & Xue, D. (2010) A review of the genus Elophila Hübner, 1822 in China (Lepidoptera: Crambidae: Acentropinae). Aquatic Insects, 32, 35–60. https://doi.org/10.1080/01650420903337633.						
R217	Morton, B. & Chan, K. (2003) The natural diet and degree of hunger of Nassarius festivus (Gastropoda: Nassariidae) on three beaches in Hong Kong. Journal of Molluscan Studies, 69, 392–395. https://doi.org/10.1093/mollus/69.4.392.						
R218	Janas, U. & Baranska, A. (2008) What is the diet of Palaemon elegans Rathke, 1837 (Crustacea, Decapoda), a non-indigenous species in the Gulf of Gdańsk (southern Baltic Sea)? Oceanologia, 50, 221–237.						
R219	Khosravi, R. & Sendi, J.J. (2010) Biology and demography of Glyphodes pyloalis Walker (Lepidoptera: Pyralidae) on mulberry. Journal of Asia-Pacific Entomology, 13, 273–276. https://doi.org/10.1016/j.aspen.2010.04.005.						
R220	Bursey, C.R. (1985) Diet overlap in the marsh crabs Sesarma reticulatum (Decapoda: Grapsidae) and Uca pugnax (Decapoda: Ocypodidae). Proceedings of the Pennsylvania Academy of Science, pp. 38–40.						
R221	Thopmson, R.M., Mouritsen, K.N. & Poulin, R. (2005) Importance of parasites and their life cycle characteristics in determining the structure of a large marine food web. Journal of Animal Ecology, 74, 77–85. https://doi.org/10.1111/j.1365-2656.2004.00899.x.						
R222	Kim, S. (2021) Systematic and Ecological Studies of the Suborder Hemerobiiformia (Neuroptera) in Korea. Doctoral Thesis. Chungbuk National University, 219.						
R223	Turay, I., Vakily, J.M., Palomares, M.L.D. & Pauly, D. (2006) Growth, food and reproduction of the mudskipper, Periophthalmus barbarus on mudflats of Freetown, Sierra Leone. Fishes in Databases and Ecosystems. Fisheries Centre Research Reports 14(4) (ed. by Palomares, M.L.D., Stergiou, K.I.& Pauly, D.) , Fisheries Centre, University of British Columbia. pp. 49–54.						
R224	Mninshall, G.W. (1967) Role of allochthonous detritus in the trophic structure of a woodland springbrook community. Ecology, 48, 139–149. https://doi.org/10.2307/1933425.						
R225	Hliwa, P., Martyniak, A., Kucharczyk, D. & Sebestyén, A. (2002) Food preferences of juvenile stages of Pseudorasbora parva (Schlegel, 1842) in the Kis-Balaton Reservoir. Archives of Polish Fisheries, 10, 121–127.						
R226	Kottelat, M. & Freyhof, J. (2007) Handbook of European freshwater fishes, Kottelat & Freyhof, Cornol & Berlin, 646.						
R227	Dalu, T., Weyl, O.L.F., Froneman, P.W. & Wasserman, R.J. (2016) Trophic interactions in an austral temperate ephemeral pond inferred using stable isotope analysis. Hydrobiologia, 768, 81–94. https://doi.org/10.1007/s10750-015-2533-5.						
R228	Oscoz, J., Leunda, P.M., Miranda, R. & Escala, M.C. (2006) Summer feeding relationships of the co-occurring Phoxinus phoxinus and Gobio lozanoi (Cyprinidae) in an Iberian river. Folia Zoologica, 55, 418.						
R229	Litvak, M.K. & Hansell, R.I.C. (1990) Investigation of food habit and niche relationships in a cyprinid community. Canadian Journal of Zoology, 68, 1873–1879. https://doi.org/10.1139/z90-267.						
R230	Mortensen, L. & Richardson, J.M.L. (2008) Effects of chemical cues on foraging in damselfly larvae, Enallagma antennatum. Journal of Insect Behavior, 21, 285–295. https://doi.org/10.1007/s10905-008-9125-4.						
R231	Suhling, F., Sahlén, G., Gorb, S., Kalkman, V.J., Dijkstra, K.-D.B. & van Tol, J. (2015) Order Odonata. Thorp and Covich’s Freshwater Invertebrates (ed. by Thorp, J.H. & Rogers, D.C.) , Elsevier., pp. 893–932. https://doi.org/10.1016/B978-0-12-385026-3.00035-8.						
R232	Humphries, P., Hyndes, G.A. & Potter, I.C. (1992) Comparisons between the diets of distant taxa (teleost and cormorant) in an Australian estuary. Estuaries, 15, 327. https://doi.org/10.2307/1352780.						
R233	Hartley, P.H.T. (1940) The saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24, 1–68. https://doi.org/10.1017/S0025315400054448.						
R234	Platell, M.E. & Potter, I.C. (1998) Distributions, size compositions and diets of two abundant benthic ambush-feeding teleosts in coastal waters of south-western Australia. Journal of the Marine Biological Association of the United Kingdom, 78, 587–608. https://doi.org/10.1017/S0025315400041643.						
R235	Folsom, T.C. & Collins, N.C. (1984) The diet and foraging behavior of the larval dragonfly Anax Junius (Aeshnidae), with an assessment of the role of refuges and prey activity. Oikos, 42, 105. https://doi.org/10.2307/3544615.						
R236	Coleman, N. & Mobley, M. (1984) Diets of commercially exploited fish from Bass Strait and adjacent Victorian Waters, south-eastern Australia. Marine and Freshwater Research, 35, 549. https://doi.org/10.1071/MF9840549.						
R237	Galbreath, G.H. & Hendricks, A.C. (1992) Life history characteristics and prey selection of larval Boyeria vinosa (Odonata: Aeshnidae). Journal of Freshwater Ecology, 7, 201–207. https://doi.org/10.1080/02705060.1992.9664685.						
R238	Nevin, F.R. (1929) A study of the larva of Calopteryx (Agrion) maculata (Odonata: Agrionidae). Transactions of the American Entomological Society (1890-), 55, 425–448.						
R239	Venkatesh, A. & Tyagi, B.K. (2013) Predatory potential of Bradinopyga geminata and Ceriagrion coromandelianum larvae on dengue vector Aedes aegypti under controlled conditions (Anisoptera: Libellulidae; Zygoptera: Coenagrionidae; Diptera: Culicidae). Odonatologica, 42, 139–149.						
R240	Koperski, P. (1997) Changes in feeding behaviour of the larvae of the damselfly Enallagma cyathigerum in response to stimuli from predators. Ecological Entomology, 22, 167–175. https://doi.org/10.1046/j.1365-2311.1997.00058.x.						
R241	Kailola, P.J., Williams, M.J., Stewart, P.C., Reichelt, R.E., McNee, A. & Grieve, C. (1993) Australian Fisheries Resources, Bureau of Resource Sciences and the Fisheries Research and Development Corporation, Canberra x, 422p. (From Fishbase www.fishbase.org)						
R242	Tachihara, K. & Kimura, S. (1991) Changes in the distribution and food with growth of the landlocked ayu larvae Plecoglossus altivelis altivelis of Lake Ikeda in southern Kyushu. Nippon Suisan Gakkaishi, 57, 797–804. [In Japanese] (From Fishbase www.fishbase.org)						
R243	Hamada, R & Kinoshita, I. (1988) Feeding Habit of Larval and Juvenile Ayu, Plecoglossus altivelis in the Surf Zone of Tosa Bay, Japan. Japanese Journal of Ichthyology, 35, 382–388. https://doi.org/10.11369/jji1950.35.382.						
R244	Pahari, P.R., Chakrabortty, D., Mandal, B. & Bhattacharya, T. (2018) Biological control of mosquito larvae using naiad of ruddy marsh skimmer Crocothemis servilia. Indian Journal of Entomology, 80, 1503. https://doi.org/10.5958/0974-8172.2018.00330.9.						
R245	Brose, U., Jonsson, T., Berlow, E.L., Warren, P., Banasek-Richter, C., Bersier, L.-F., Blanchard, J.L., Brey, T., Carpenter, S.R., Blandenier, M.-F.C. & others (2006) Consumer--resource body-size relationships in natural food webs. Ecology, 87, 2411–2417. https://doi.org/10.1890/0012-9658(2006)87[2411:CBRINF]2.0.CO;2.						
R246	Dumont, H.J. & Verschuren, D. (1991) Atypical ecology of Pantala flavescens (Fabr.) on Easter Island (Anisoptera: Libellulidae). Odonatologica, 20, 45–51.						
R247	Dudgeon, D. (2000) Indiscriminate Feeding by a Predatory Stonefly (Plecoptera: Perlidae) in a Tropical Asian Stream. Aquatic Insects, 22, 39–47. https://doi.org/10.1076/0165-0424(200001)22:1;1-Z;FT039.						
R248	Nakagawa, H. (2023) Diel and seasonal changes in gut contents of omnivorous–carnivorous macroinvertebrates in the Yura River, Japan. Ecological Research, 38, 347–359. https://doi.org/10.1111/1440-1703.12372.						
R249	Boltovskoy, D., Correa, N., Sylvester, F. & Cataldo, D. (2015) Nutrient Recycling, Phytoplankton Grazing, and Associated Impacts of Limnoperna fortunei. Limnoperna Fortunei (ed. by D. Boltovskoy) , pp. 153–176. Springer International Publishing, Cham. https://doi.org/10.1007/978-3-319-13494-9_9.						
R250	McGaha, Y.J. (1952) The Limnological Relations of Insects to Certain Aquatic Flowering Plants. Transactions of the American Microscopical Society, 71, 355. https://doi.org/10.2307/3223467						
